park_id,Season,Weekday,Weekend,Holiday,time_period
B059,Autumn,104.375664914141,81.02876863661679,135.84473061928801,12:00-12:30
B059,Autumn,95.81073114361101,83.97581496258559,92.15671952937883,12:30-13:00
B059,Autumn,91.09948702431058,101.63408439435793,72.92589177295511,13:00-13:30
B059,Autumn,85.29724841300997,54.343294165624314,72.92589177295511,13:30-14:00
B059,Autumn,65.28796570075592,63.91069099575522,72.92589177295511,14:00-14:30
B059,Autumn,58.902127029632084,74.89459074427438,10.655283075715108,14:30-15:00
B059,Autumn,69.43586695239225,64.82301490929342,0.0,15:00-15:30
B059,Autumn,72.80917176099047,35.880739178495936,0.0,15:30-16:00
B059,Autumn,77.61494944370028,24.326636984015398,8.183905632298295,16:00-16:30
B059,Autumn,57.39923629706243,24.356647639065987,0.0,16:30-17:00
B059,Autumn,54.85744099518762,20.80338608107509,19.892562700289417,17:00-17:30
